Priser opdateret 13.02.2026;;;;;;;;;;;;;;;;;;;;;;
;;;Ordretyper;;;;;Foreslået salgspris;;Service interval;;;;;;;;;;;;
Deutz-Fahr 9340 TTV StageV;Reservedelsnr.;Antal;Brutto;Haste;Uge;Måned;Vælg Ordretype:;Måned;;500 timer;1000 timer;1500 timer;2000 timer;2500 timer;3000 timer;3500 timer;4000 timer;4500 timer;;;;
Filter f/ lufttørre (luftanlæg);0.900.2100.8;1;760,11;615,69;562,48;478,11;;525,92;;;525,92;;525,92;;525,92;;525,92;;;;;
Motoroliefilter 1000 timer;04913595;1;464,77;376,46;343,93;292,34;;321,57;;;321,57;;321,57;;321,57;;321,57;;;;;
Brændstoffilter;01182672;1;438,71;355,35;324,65;275,95;;303,55;;;303,55;;303,55;;303,55;;303,55;;;Disse to felter kan ændres;;
Brændstoffilter;0.900.0864.0;1;200,80;160,64;120,48;102,41;;112,65;;;112,65;;112,65;;112,65;;112,65;;;Fortjeneste;10%;
Brændstoffilter;0.900.0511.9;1;786,32;636,92;581,87;494,59;;544,05;;;544,05;;544,05;;544,05;;544,05;;;Timepris, arbejdsløn;650,00;
Transmissionsfilter;0.900.2045.4;1;1140,20;923,56;843,75;717,19;;788,91;;788,91;788,91;788,91;788,91;788,91;788,91;788,91;788,91;788,91;;;;
Transmissionsfilter ????;0.900.2375.8;1;1131,68;916,66;837,45;711,83;;783,02;;;;;;;;;;;;;;
Luftfilter f/ motor udv.;0.900.2357.8;1;2407,19;1949,82;1781,32;1514,12;;1665,53;;;1665,53;;1665,53;;1665,53;;1665,53;;;;;
luftfilter f/ motor indv.;0.900.2357.6;1;1393,57;1128,79;1031,24;876,55;;964,21;;;;;;;964,21;;;;;;;
Adbluefilter;02934690;1;707,16;572,80;523,30;444,81;;489,29;;;489,29;;489,29;;489,29;;489,29;;;;;
Luftfilter f/ kabine;0.017.2976.2/30 ;2;446,63;361,77;330,50;280,93;;309,02;;;309,02;;309,02;;309,02;;309,02;;;;;
"Luftfilter ""plug"" 10x6";2.3199.163.0;2;34,65;31,18;24,60;20,91;;23,00;;;23,00;;23,00;;23,00;;23,00;;;;;
Luftfilter f/ kabine recirkulering;0.022.8723.4/20;1;297,80;241,22;220,37;187,31;;206,05;;;206,05;;206,05;;206,05;;206,05;;;;;
Hydraulikfilter;2.4419.812.0;1;443,34;359,11;328,07;278,86;;306,75;;;306,75;;306,75;;306,75;;306,75;;;;;
Hydraulikfilter;"	2.4419.819.0";1;1360,04;1101,63;1006,43;855,47;;941,01;;;941,01;;941,01;;941,01;;941,01;;;;;
Hydraulikfilter;2.4419.820.0;1;2171,30;1758,75;1606,76;1365,75;;1502,32;;;1502,32;;1502,32;;1502,32;;1502,32;;;;;
Hydraulikfilter;2.4419.823.0;1;1146,62;928,76;848,50;721,23;;793,35;;;793,35;;793,35;;793,35;;793,35;;;;;
