Priser opdateret 13.02.2026;;;;;;;;;;;;;;;;;;;;;;
;;;Ordretyper;;;;;Foreslået salgspris;;Service interval;;;;;;;;;;;;
Deutz-Fahr 6165 TTV StageV;Reservedelsnr.;Antal;Brutto;Haste;Uge;Måned;Vælg Ordretype:;Brutto;;500 timer;1000 timer;1500 timer;2000 timer;2500 timer;3000 timer;3500 timer;4000 timer;4500 timer;;;;
Filter f/ lufttørre (luftanlæg);0.900.2100.8;1;760,11;615,69;562,48;478,11;;760,11;;;760,11;;760,11;;760,11;;760,11;;;;;
Motoroliefilter;04516458;1;618,45;500,94;457,65;389,00;;618,45;;;618,45;;618,45;;618,45;;618,45;;;;;
Brændstoffilter;04516618;1;866,74;702,06;641,39;545,18;;866,74;;;866,74;;866,74;;866,74;;866,74;;;;;
Brændstoffilter;0.035.1468.0;1;718,21;581,75;531,48;451,76;;718,21;;;718,21;;718,21;;718,21;;718,21;;;Disse to felter kan ændres;;
Transmissionsfilter;0.900.2045.4;1;1140,20;923,56;843,75;717,19;;1140,20;;1140,20;1140,20;1140,20;1140,20;1140,20;1140,20;1140,20;1140,20;1140,20;;Fortjeneste;0%;
Tætningsring f/ transmissionsfilter;04450759;1;47,34;39,77;34,09;28,98;;47,34;;47,34;47,34;47,34;47,34;47,34;47,34;47,34;47,34;47,34;;Timepris, arbejdsløn; 650,00 kr. ;
Luftfilter f/ motor udv.;0.900.2748.0;1;957,02;775,19;708,20;601,97;;957,02;;;957,02;;957,02;;957,02;;957,02;;;;;
luftfilter f/ motor indv.;0.900.0272.1;1;489,04;396,12;361,89;307,61;;489,04;;;;;;;489,04;;;;;;;
Adbluefilter;02934690;1;707,16;572,80;523,30;444,81;;707,16;;;;;707,16;;;;707,16;;;;;
Luftfilter f/ kabine;0.017.2976.2/30;2;446,63;361,77;330,50;280,93;;446,63;;;446,63;;446,63;;446,63;;446,63;;;;;
Luftfilter f/ kabine recirkulering;0.022.8723.4/20;2;297,80;241,22;220,37;187,31;;297,80;;;297,80;;297,80;;297,80;;297,80;;;;;
Hydraulikfilter;04437774;1;849,04;687,73;628,29;534,05;;849,04;;849,04;849,04;849,04;849,04;849,04;849,04;849,04;849,04;849,04;;;;
Hydraulikfilter;2.4419.823.0;1;1146,62;928,76;848,50;721,23;;1146,62;;1146,62;1146,62;1146,62;1146,62;1146,62;1146,62;1146,62;1146,62;1146,62;;;;
Hydraulikfilter;2.4419.802.0;1;792,81;642,18;586,68;498,68;;792,81;;792,81;792,81;792,81;792,81;792,81;792,81;792,81;792,81;792,81;;;;
Hydraulikfilter;2.4419.803.0;1;1102,19;892,77;815,62;693,28;;1102,19;;1102,19;1102,19;1102,19;1102,19;1102,19;1102,19;1102,19;1102,19;1102,19;;;;
