Priser opdateret 13.02.2026;;;;;;;;;;;;;;;;;
;;;Ordretyper;;;;;Foreslået salgspris;;Service interval;;;;;;;
Deutz-Fahr 6210 TTV StageV;Reservedelsnr.;Antal;Brutto;Haste;Uge;Måned;Vælg Ordretype:;Måned;;1000 timer;2000 timer;3000 timer;4000 timer;;;;
Filter f/ lufttørre (luftanlæg);0.900.2100.8;1;760,11;615,69;562,48;478,11;;525,92;;525,92;525,92;525,92;525,92;;Disse to felter kan ændres;;
Motoroliefilter;04516458;1;618,45;500,94;457,65;389,00;;427,90;;427,90;427,90;427,90;427,90;;Fortjeneste;10%;
Brændstoffilter;04516618;1;866,74;702,06;641,39;545,18;;599,70;;599,70;599,70;599,70;599,70;;Timepris, arbejdsløn; 650,00 kr. ;
Brændstoffilter;0.035.1468.0;1;718,21;581,75;531,48;451,76;;496,93;;496,93;496,93;496,93;496,93;;;;
Transmissionsfilter;0.900.7796.0;1;605,46;490,42;448,04;380,83;;418,92;;418,92;418,92;418,92;418,92;;;;
Transmissionsfilter;2.4419.814.0;1;704,18;570,38;521,09;442,93;;487,22;;487,22;487,22;487,22;487,22;;;;
Transmissionsfilter;2.4419.823.0;1;1146,62;928,76;848,50;721,23;;793,35;;793,35;793,35;793,35;793,35;;;;
Tætningsring f/ transmissionsfilter;0.900.7591.7;1;30,69;27,62;21,79;18,52;;20,37;;20,37;20,37;20,37;20,37;;;;
Luftfilter f/ motor udv.;0.900.2748.0;1;957,02;775,19;708,20;601,97;;662,17;;662,17;662,17;662,17;662,17;;;;
luftfilter f/ motor indv.;0.900.0272.1;1;489,04;396,12;361,89;307,61;;338,37;;;;338,37;;;;;
Adbluefilter;02934690;1;707,16;572,80;523,30;444,81;;489,29;;;489,29;;;;;;
Luftfilter f/ kabine;0.017.2976.2/30;2;446,63;361,77;330,50;280,93;;309,02;;309,02;309,02;309,02;309,02;;;;
Luftfilter f/ kabine recirkulering;0.022.8723.4/20;2;297,80;241,22;220,37;187,31;;206,05;;206,05;206,05;206,05;206,05;;;;
Hydraulikfilter;2.4419.838.0;1;1471,53;1191,94;1088,93;925,59;;1018,15;;1018,15;1018,15;1018,15;1018,15;;;;
Hydraulikfilter;2.4419.839.0;1;1540,00;1247,40;1139,60;968,66;;1065,53;;1065,53;1065,53;1065,53;1065,53;;;;
Hydraulikfilter f/ front pto;0.900.0814.1;1;577,75;467,98;427,54;363,41;;399,75;;399,75;399,75;399,75;399,75;;;;
Remstrammer;04913638;1;3099,49;2727,55;2355,62;2002,28;;2202,50;;;;2202,50;;;;;
Rem ;2.4119.182.0;1;305,57;244,45;183,34;155,84;;171,42;;171,42;171,42;171,42;171,42;;;;
Rem ;01183392;1;883,84;777,78;671,72;570,96;;628,06;;;;628,06;;;;;
Åndefilter f/ motor;04905110;1;1786,35;1571,99;1357,63;1153,99;;1269,38;;1269,38;1269,38;1269,38;1269,38;;;;
Ventildækselpakning;04515843;1;1849,38;1627,45;1405,53;1194,70;;1314,17;;;1314,17;;1314,17;;;;
Tætning f/ ventildæksel;04505512;1;220,21;193,79;167,36;142,26;;156,48;;;156,48;;156,48;;;;
;;;;;;;;;SUM, reservedele;8871,78;10831,71;12040,71;10342,43;;;;
;;;;;;;;;Arbejdstimer ;10,0;20,0;10,0;20,0;;;;
;;;;;;;;;Arbejdsløn; 6.500 ; 13.000 ; 6.500 ; 13.000 ;;;;
Væsker;;;;;;;Foreslået salgspris fra Univar;;;;;;;;;;
Motorolie 5w-30 Performance oil;;14;;;;;42,50;595;;595,00;595,00;595,00;595,00;;;;
Transmissionsolie 10w-30 UTTO;;94;;;;;27,95;2627,3;;2627,30;;2627,30;;;;;
Hydraulikolie 10w-30 UTTO;;80;;;;;27,95;2236;;2236,00;;2236,00;;;;;
Foraksel 10w-30 UTTO;;6;;;;;27,95;167,7;;167,70;167,70;167,70;167,70;;;;
Slutdrev foraksel 10w-30 UTTO;;3;;;;;27,95;83,85;;83,85;83,85;83,85;83,85;;;;
Slutdrev bagaksel 10w-30 UTTO;;26;;;;;27,95;726,7;;726,70;;726,70;;;;;
Olie f/ front pto 10w-30 UTTO;;2,6;;;;;27,95;72,67;;72,67;72,67;72,67;72,67;;;;
Kølervæske Greentech Coolant;;36;;;;;22,87;823,32;;;;;823,32;;;;
Sprinklervæske;;5;;;;;20,00;100;;100,00;100,00;100,00;100,00;;;;
Fedtpatron;;1;;;;;65,87;65,87;;65,87;65,87;65,87;65,87;;;;
Kølemiddel f/ aircon anlæg (gram);;200;;;;;1,00;200;;200,00;200,00;200,00;200,00;;;;
;;;;;;;;;SUM, væsker;6875,09;1285,09;6875,09;2108,41;;;;
Diverse;;;;;;;Foreslået salgspris;;;;;;;;;;
Testudstyr (D-Tech);;1;;;;;500;500;;500;500;500;500;;;;
Testudstyr f/  aircon anlæg;;1;;;;;500;500;;500;500;500;500;;;;
Hjælpematerialer;;1;;;;;750;750;;750;750;750;750;;;;
Diverse;;1;;;;;500;500;;500;500;500;500;; Timepris ved 2500 timer ; Timepris ved 4000 timer ; Timepris ved 5000 timer 
;;1;;;;;;;Total, DKK; 24.496,87 ; 27.366,80 ; 27.665,80 ; 27.700,84 ;; 20,75 ; 19,88 ; 21,45 
;;;;;;;;;c;;;;;;*ekskl. 3000 timers service;*ekskl. 4000 timers service;*ekskl. 5000 timers service
