Priser opdateret 13.02.2026;;;;;;;;;;;;;;;;;;;;;
;;;Ordretyper;;;;;Foreslået salgspris;;Service interval;;;;;;;;;;;
Deutz-Fahr 8280 TTV StageV;Reservedelsnr.;Antal;Brutto;Haste;Uge;Måned;Vælg Ordretype:;Måned;;1000 timer;1500 timer;2000 timer;2500 timer;3000 timer;3500 timer;4000 timer;4500 timer;;;;
Filter f/ lufttørre (luftanlæg);0.900.2100.8;1;760,11;615,69;562,48;478,11;;573,73;;573,73;;573,73;;573,73;;573,73;;;Disse to felter kan ændres;;
Motoroliefilter;04516458;1;618,45;500,94;457,65;389,00;;466,80;;466,80;;466,80;;466,80;;466,80;;;Fortjeneste;20%;
Brændstoffilter;04516618;1;866,74;702,06;641,39;545,18;;654,22;;654,22;;654,22;;654,22;;654,22;;;Timepris, arbejdsløn; 750,00 kr. ;
Brændstoffilter;0.035.1468.0;1;718,21;581,75;531,48;451,76;;542,11;;542,11;;542,11;;542,11;;542,11;;;;;
Transmissionsfilter;0.900.7796.0;1;605,46;490,42;448,04;380,83;;457,00;;457,00;;457,00;;457,00;;457,00;;;;;
Transmissionsfilter;2.4419.814.0;1;704,18;570,38;521,09;442,93;;531,51;;531,51;;531,51;;531,51;;531,51;;;;;
Transmissionsfilter;2.4419.823.0;1;1146,62;928,76;848,50;721,23;;865,47;;865,47;;865,47;;865,47;;865,47;;;;;
Tætningsring f/ transmissionsfilter;0.900.7591.7;1;30,69;27,62;21,79;18,52;;22,23;;22,23;;22,23;;22,23;;22,23;;;;;
Luftfilter f/ motor udv.;0.900.2748.1;1;1876,26;1519,77;1388,43;1180,17;;1416,20;;1416,20;;1416,20;;1416,20;;1416,20;;;;;
luftfilter f/ motor indv.;0.900.0793.7;1;788,41;638,61;583,42;495,91;;595,09;;;;;;595,09;;;;;;;
Adbluefilter;02934690;1;707,16;572,80;523,30;444,81;;533,77;;;;533,77;;;;;;;;;
Luftfilter f/ kabine;0.017.2976.2/30;2;446,63;361,77;330,50;280,93;;337,11;;337,11;;337,11;;337,11;;337,11;;;;;
Luftfilter f/ kabine recirkulering;0.022.8723.4/20;2;297,80;241,22;220,37;187,31;;224,78;;224,78;;224,78;;224,78;;224,78;;;;;
Hydraulikfilter;2.4419.838.0;1;1471,53;1191,94;1088,93;925,59;;1110,71;;1110,71;;1110,71;;1110,71;;1110,71;;;;;
Hydraulikfilter;2.4419.839.0;1;1540,00;1247,40;1139,60;968,66;;1162,39;;1162,39;;1162,39;;1162,39;;1162,39;;;;;
Hydraulikfilter f/ front pto;0.900.0814.1;1;577,75;467,98;427,54;363,41;;436,09;;436,09;;436,09;;436,09;;436,09;;;;;
Remstrammer;04913638;1;3099,49;2727,55;2355,62;2002,28;;2402,73;;;;;;2402,73;;;;;;;
Rem ;01183704;1;598,14;526,36;454,59;386,40;;463,68;;463,68;;463,68;;463,68;;463,68;;;;;
Rem ;01183164;1;1044,39;919,06;793,74;674,68;;809,61;;;;;;809,61;;;;;;;
Åndefilter f/ motor;04905110;1;1786,35;1571,99;1357,63;1153,99;;1384,78;;1384,78;;1384,78;;1384,78;;1384,78;;;;;
Ventildækselpakning;04515843;1;1849,38;1627,45;1405,53;1194,70;;1433,64;;;;1433,64;;;;1433,64;;;;;
Tætning f/ ventildæksel;04505512;1;220,21;193,79;167,36;142,26;;170,71;;;;170,71;;;;170,71;;;;;
;;;;;;;;;SUM, reservedele; 10.648,81 ; -   ; 12.786,92 ; -   ; 14.456,25 ; -   ; 12.253,16 ; -   ;;;;
;;;;;;;;;Arbejdstimer ;10,0;;20,0;;10,0;;20,0;;;;;
;;;;;;;;;Arbejdsløn; 7.500 ; -   ; 15.000 ; -   ; 7.500 ; -   ; 15.000 ; -   ;;;;
Væsker;;;;;;;Foreslået salgspris fra Univar;;;;;;;;;;;;;;
Motorolie 5w-30 Performance oil;;17;;;;;42,50;722,5;;722,5;;722,5;;722,5;;722,5;;;;;
Transmissionsolie 10w-30 UTTO;;94;;;;;27,95;2627,3;;2627,3;;;;2627,3;;;;;;;
Hydraulikolie 10w-30 UTTO;;142;;;;;27,95;3968,9;;3968,9;;;;3968,9;;;;;;;
Foraksel 10w-30 UTTO;;6;;;;;27,95;167,7;;167,7;;167,7;;167,7;;167,7;;;;;
Slutdrev foraksel 10w-30 UTTO;;3;;;;;27,95;83,85;;83,85;;83,85;;83,85;;83,85;;;;;
Slutdrev bagaksel 10w-30 UTTO;;30;;;;;27,95;838,5;;838,5;;;;838,5;;;;;;;
Olie f/ front pto 10w-30 UTTO;;2,6;;;;;27,95;72,67;;72,67;;72,67;;72,67;;72,67;;;;;
Kølervæske Greentech Coolant;;36;;;;;22,87;823,32;;;;;;;;823,32;;;;;
Sprinklervæske;;5;;;;;20,00;100;;100;;100;;100;;100;;;;;
Fedtpatron;;1;;;;;65,87;65,87;;65,87;;65,87;;65,87;;65,87;;;;;
Kølemiddel f/ aircon anlæg (gram);;200;;;;;1,00;200;;200;;200;;200;;200;;;;;
;;;;;;;;;SUM, væsker; 8.847,29 ; -   ; 1.412,59 ; -   ; 8.847,29 ; -   ; 2.235,91 ; -   ;;;;
Diverse;;;;;;;Foreslået salgspris;;;;;;;;;;;;;;
Testudstyr (D-Tech);;1;;;;;500,00;500;;500;;500;;500;;500;;;;;
Testudstyr f/  aircon anlæg;;1;;;;;500,00;500;;500;;500;;500;;500;;;;;
Hjælpematerialer;;1;;;;;750,00;750;;750;;750;;750;;750;;;;;
Diverse;;1;;;;;500,00;500;;500;;500;;500;;500;;; Timepris ved 3000 timer ; Timepris ved 4000 timer ; Timepris ved 5000 timer 
;;;;;;;;;Total, DKK; 29.246,10 ; -   ; 31.449,51 ; -   ; 33.053,54 ; -   ; 31.739,07 ; -   ;; 20,23 ; 23,44 ; 25,10 
;;;;;;;;;;;;;;;;;;;*ekskl. 3000 timers service;*ekskl. 4000 timers service;*ekskl. 5000 timers service
